Name,Party,Party2
Mr Bandt,Greens,Greens
Mr Bates,Greens,Greens
Mr Chandler-Mather,Greens,Greens
Mr Chandler-Mather ,Greens,Greens
Ms Watson-Brown,Greens,Greens
Dr Aly,Labor,Labor
Dr Ananda-Rajah,Labor,Labor
Dr Chalmers,Labor,Labor
Dr Charlton,Labor,Labor
Dr Freelander,Labor,Labor
Dr Garland,Labor,Labor
Dr Leigh,Labor,Labor
Dr Mulino,Labor,Labor
Dr Reid,Labor,Labor
Mr Albanese,Labor,Labor
Mr B Mitchell,Labor,Labor
Mr Bowen,Labor,Labor
Mr Burke,Labor,Labor
Mr Burnell,Labor,Labor
Mr Burns,Labor,Labor
Mr Butler,Labor,Labor
Mr Clare,Labor,Labor
Mr Conroy,Labor,Labor
Mr Dreyfus,Labor,Labor
Mr Georganas,Labor,Labor
Mr Giles,Labor,Labor
Mr Gorman,Labor,Labor
Mr Gosling,Labor,Labor
Mr Hill,Labor,Labor
Mr Husic,Labor,Labor
Mr J Wilson,Labor,Labor
Mr Jones,Labor,Labor
Mr Keogh,Labor,Labor
Mr Khalil,Labor,Labor
Mr Laxale,Labor,Labor
Mr Lim,Labor,Labor
Mr Marles,Labor,Labor
Mr Neumann,Labor,Labor
Mr O'Connor,Labor,Labor
Mr Perrett,Labor,Labor
Mr R Mitchell,Labor,Labor
Mr Rae,Labor,Labor
Mr Repacholi,Labor,Labor
Mr Shorten,Labor,Labor
Mr Smith,Labor,Labor
Mr Thistlethwaite,Labor,Labor
Mr Watts,Labor,Labor
Mr Zappia,Labor,Labor
Mrs Elliot,Labor,Labor
Mrs Phillips,Labor,Labor
Ms Belyea,Labor,Labor
Ms Burney,Labor,Labor
Ms Byrnes,Labor,Labor
Ms C King,Labor,Labor
Ms Chesters,Labor,Labor
Ms Claydon,Labor,Labor
Ms Coker,Labor,Labor
Ms Collins,Labor,Labor
Ms Doyle,Labor,Labor
Ms Fernando,Labor,Labor
Ms J Ryan,Labor,Labor
Ms Kearney,Labor,Labor
Ms Lawrence,Labor,Labor
Ms M. M. H. King,Labor,Labor
Ms Mascarenhas,Labor,Labor
Ms McBain,Labor,Labor
Ms McBride,Labor,Labor
Ms Miller-Frost ,Labor,Labor
Ms Murphy,Labor,Labor
Ms O'Neil,Labor,Labor
Ms Payne,Labor,Labor
Ms Plibersek,Labor,Labor
Ms Rishworth,Labor,Labor
Ms Roberts,Labor,Labor
Ms Rowland,Labor,Labor
Ms Scrymgour,Labor,Labor
Ms Sitou,Labor,Labor
Ms Stanley,Labor,Labor
Ms Swanson,Labor,Labor
Ms Templeman,Labor,Labor
Ms Thwaites,Labor,Labor
Ms Vamvakinou,Labor,Labor
Ms Wells,Labor,Labor
Ms Sharkie,Centre Alliance,Centre Alliance
Dr Haines,Independent,Independent
Mr Broadbent,Independent,Independent
Mr Gee,Independent,Independent
Mr Goodenough,Independent,Independent
Mr Wilkie,Independent,Independent
Ms Le,Independent,Independent
Dr M Ryan,Independent,Independent (Teal)
Dr Scamps,Independent,Independent (Teal)
Ms Chaney,Independent,Independent (Teal)
Ms Daniel,Independent,Independent (Teal)
Ms Spender,Independent,Independent (Teal)
Ms Steggall,Independent,Independent (Teal)
Ms Tink,Independent,Independent (Teal)
Mr Katter,Katter's Australian Party,Katter's Australian Party
Mr Boyce,Coalition,Liberal National Party of Queensland
Mr Buchholz,Coalition,Liberal National Party of Queensland
Mr Caldwell,Coalition,Liberal National Party of Queensland
Mr Dutton,Coalition,Liberal National Party of Queensland
Mr Entsch,Coalition,Liberal National Party of Queensland
Mr Hamilton,Coalition,Liberal National Party of Queensland
Mr Howarth,Coalition,Liberal National Party of Queensland
Mr L O'Brien,Coalition,Liberal National Party of Queensland
Mr Littleproud,Coalition,Liberal National Party of Queensland
Mr Pike,Coalition,Liberal National Party of Queensland
Mr Pitt,Coalition,Liberal National Party of Queensland
Mr Robert,Coalition,Liberal National Party of Queensland
Mr Ted O'Brien,Coalition,Liberal National Party of Queensland
Mr Thompson,Coalition,Liberal National Party of Queensland
Mr van Manen,Coalition,Liberal National Party of Queensland
Mr Vasta,Coalition,Liberal National Party of Queensland
Mr Wallace,Coalition,Liberal National Party of Queensland
Mr Willcox,Coalition,Liberal National Party of Queensland
Mr Young,Coalition,Liberal National Party of Queensland
Mrs Andrews,Coalition,Liberal National Party of Queensland
Ms Bell,Coalition,Liberal National Party of Queensland
Ms Landry,Coalition,Liberal National Party of Queensland
Mr Coleman,Coalition,Liberal Party of Australia
Mr Fletcher,Coalition,Liberal Party of Australia
Mr Hastie,Coalition,Liberal Party of Australia
Mr Hawke,Coalition,Liberal Party of Australia
Mr Kennedy,Coalition,Liberal Party of Australia
Mr Leeser,Coalition,Liberal Party of Australia
Mr Pasin,Coalition,Liberal Party of Australia
Mr Pearce,Coalition,Liberal Party of Australia
Mr R Wilson,Coalition,Liberal Party of Australia
Mr Ramsey,Coalition,Liberal Party of Australia
Mr Stevens,Coalition,Liberal Party of Australia
Mr Sukkar,Coalition,Liberal Party of Australia
Mr Taylor,Coalition,Liberal Party of Australia
Mr Tehan,Coalition,Liberal Party of Australia
Mr Tudge,Coalition,Liberal Party of Australia
Mr Violi,Coalition,Liberal Party of Australia
Mr Wolahan,Coalition,Liberal Party of Australia
Mr Wood,Coalition,Liberal Party of Australia
Mrs Archer,Coalition,Liberal Party of Australia
Mrs Marino,Coalition,Liberal Party of Australia
Mrs McIntosh,Coalition,Liberal Party of Australia
Ms Ley,Coalition,Liberal Party of Australia
Ms McKenzie,Coalition,Liberal Party of Australia
Ms Price,Coalition,Liberal Party of Australia
Ms Ware,Coalition,Liberal Party of Australia
Dr Gillespie,Coalition,The Nationals
Dr Webster,Coalition,The Nationals
Mr Birrell,Coalition,The Nationals
Mr Chester,Coalition,The Nationals
Mr Conaghan,Coalition,The Nationals
Mr Coulton,Coalition,The Nationals
Mr Hogan,Coalition,The Nationals
Mr Joyce,Coalition,The Nationals
Mr McCormack,Coalition,The Nationals
