id,title,question,date,aye_votes,no_votes,mover,mover_party,division_type,bill_type,portfolio,orig_house,status,conscience_vote,Coalition,Australian Labor Party,Australian Greens,Ms Chaney,Ms Daniel,Dr Haines,Dr M Ryan,Dr Scamps,Ms Spender,Ms Steggall,Ms Tink,Mr Wilkie,Ms Le
1734,Government motion,"That the motion, as amended, be agreed to",2022-07-27T10:30:49.56,89,54,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1735,Australian Human Rights Commission Legislation Amendment (Selection and Appointment) Bill 2022,2nd reading—That the amendment be disagreed to,2022-08-02T10:40:22.937,118,11,Mr Bates,Australian Greens,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,No,,No,,No,No,No,No,No,No,Aye
1736,Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022,That the bill be considered urgent,2022-08-02T17:43:12.443,82,58,Mr Burke,Australian Labor Party,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,,No,Aye,Aye,Aye,No
1738,Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022,That the bill be read a second time,2022-08-03T09:02:13.33,86,53,Ms Rishworth,Australian Labor Party,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,No
1739,Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022,That the bill be read a third time,2022-08-03T09:13:51.36,86,56,,,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1740,Restoring Territory Rights Bill 2022,That the bill be read a third time,2022-08-03T09:30:59.843,99,37,Mr Gosling,Australian Labor Party,bill,Private,"GOSLING, Luke, MP",House of Representatives,Act,TRUE,Aye,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,
1741,Public Sector Superannuation Salary Legislation Amendment Bill 2022,That the bill be read a second time,2022-08-04T09:19:52.467,116,5,Mr Jones,Australian Labor Party,bill,Government,Finance,Senate,Act,FALSE,Aye,Aye,No,,,,No,,Aye,Aye,,Aye,
1742,Climate Change Bill 2022,2nd reading—That the amendment be disagreed to,2022-08-04T09:32:19.637,122,9,Mr Bandt,Australian Greens,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,Aye,Aye,No,,No,,Aye,No,Aye,No,No,No,
1743,Climate Change Bill 2022,That the bills be read a second time,2022-08-04T09:47:15.163,87,56,,,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,
1744,Climate Change Bill 2022,Detailed amendments—That Ms Ryan amendments (1 and 2) be agreed to,2022-08-04T09:58:30.147,86,57,Dr M Ryan,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,
